company_name,ticker_symbol,market_cap,url
"Waste Management, Inc. Common Stock",WM,"69,478,761,158",https://www.nasdaq.com/market-activity/stocks/wm
Schlumberger N.V. Common Stock,SLB,"69,462,927,281",https://www.nasdaq.com/market-activity/stocks/slb
"EOG Resources, Inc. Common Stock",EOG,"69,371,476,654",https://www.nasdaq.com/market-activity/stocks/eog
Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),SMFG,"69,130,413,731",https://www.nasdaq.com/market-activity/stocks/smfg
"HCA Healthcare, Inc. Common Stock",HCA,"68,930,685,824",https://www.nasdaq.com/market-activity/stocks/hca
Arm Holdings plc American Depositary Shares,ARM,"68,926,481,820",https://www.nasdaq.com/market-activity/stocks/arm
General Dynamics Corporation Common Stock,GD,"68,849,148,809",https://www.nasdaq.com/market-activity/stocks/gd
Moody's Corporation Common Stock,MCO,"68,553,630,000",https://www.nasdaq.com/market-activity/stocks/mco
FedEx Corporation Common Stock,FDX,"68,439,159,878",https://www.nasdaq.com/market-activity/stocks/fdx
KKR & Co. Inc. Common Stock,KKR,"68,101,417,618",https://www.nasdaq.com/market-activity/stocks/kkr
"Banco Santander, S.A. Sponsored ADR (Spain)",SAN,"67,973,413,448",https://www.nasdaq.com/market-activity/stocks/san
Canadian Pacific Kansas City Limited Common Shares,CP,"67,911,613,000",https://www.nasdaq.com/market-activity/stocks/cp
Canadian Natural Resources Limited Common Stock,CNQ,"67,849,142,400",https://www.nasdaq.com/market-activity/stocks/cnq
"Becton, Dickinson and Company Common Stock",BDX,"67,461,109,841",https://www.nasdaq.com/market-activity/stocks/bdx
"NetEase, Inc. American Depositary Shares",NTES,"67,399,522,124",https://www.nasdaq.com/market-activity/stocks/ntes
Thomson Reuters Corp Common Shares,TRI,"66,887,094,311",https://www.nasdaq.com/market-activity/stocks/tri
Rentokil Initial plc American Depositary Shares (each representing five (5) Ordinary Shares),RTO,"66,569,370,000",https://www.nasdaq.com/market-activity/stocks/rto
CSX Corporation Common Stock,CSX,"65,133,278,914",https://www.nasdaq.com/market-activity/stocks/csx
